,Title,Author,Publication_Year,Link,Abstract,Topic_Category
10,"Ecological footprints, global sustainability, and the roles of natural resources, financial development, and economic growth",Marshadi A.H.A.L.,2025-03-01,http://dx.doi.org/10.1371/journal.pone.0317664,"The prevailing ecological deficit is devastating the ecosystem which is leading toward the unsustainability by endangering the livings on earth. The important drivers of this environment degradation are natural resources depletion, financial development and the economic growth which are investigated to test their impact on ecological footprints. The EKC hypothesis is evaluated to test the growth led environment pattern. This study incorporated twenty years (2002–2021) data of 146 countries and the group of countries are investigated into various quantiles, geographical regions and income wise groups formed by the World Bank. Keeping in view the heterogeneous data established through the Shapiro-Francia W test and graphical analysis, the panel quantile regression is used which is insensitive to heterogeneous data. Firstly, the impact of dependent variables is estimated on environment degradation using the 10th, 20th, 30th,40th, 50th, 60th, 70th, 80th, 90th and 99th quantiles. The results suggested that the natural resources depletion and financial development are deteriorating the ecological footprints, which varies from smaller in initial quantiles to large in later quantiles. NR in North America and FD in the Middle East & North Africa are severely deteriorating the environment quality. The economic growth is improving the ecology in East Asia and the Pacific. The negative impact of natural resources on environment degradation is found in all income groups albeit with varying intensities. The financial development in upper middle income and lower middle income groups is deteriorating the environment quality. The EKC hypothesis remained undetermined for the estimated quantiles and geographical regions whereas it is established in high income group only. The policy intervention is recommended to restrict the natural resources depletion and binding the credit facilities to invest in ecosystem friendly projects by curtailing the process of ecological deficit for global sustainability which may be initiated from the most environment degraded quantiles, geographical region and income group.",Environmental Science
11,Regulation and Bank Lending in South Africa: A Narrative Index Approach,Sibande X.,2025-03-01,http://dx.doi.org/10.1111/saje.12401,"ABSTRACTThe extension of affordable credit is a key component of financial inclusion but it could reduce the stability of the financial sector. Prudential policies, on the other hand, are designed to mitigate financial sector risk. Thus, policies aimed at the extension of credit and prudential regulations may be in opposition. This study estimates and contrasts the impact of these potentially contradictory regulations on the bank lending volumes of South Africa's largest banks. We find that announcements of prudential regulation are associated with an increase in secured lending, while the implementation of prudential regulation is associated with an increase in unsecured lending. Despite tighter implementation of prudential reforms, we observe an increase in unsecured lending that is driven by unsecured lending to corporates. Our results also indicate the contractionary effects of prudential regulation on mortgage lending. Furthermore, the estimated effects of efforts aimed at extending credit to households have no impact on bank lending to households but increase secured lending to corporates. The two regulatory approaches overlap with regard to lending to corporates.",Economics
12,Measuring real-time violence exposure and its impact on intimate partner violence perpetration among adolescents,Kidman R.,2025-03-01,http://dx.doi.org/10.1371/journal.pone.0318063,"
Background
Intimate partner violence (IPV) has dire health consequences. To intervene, it is critical we first understand why young men perpetrate IPV. One theory is that men who experience violence are more likely to perpetrate violence. We used real time data to examine how daily and repeat experiences of violence affect IPV behaviors.


Methods
We enrolled 498 males aged 15-19 years in Soweto, South Africa during 2020-2022. We collected data through weekly mobile phone surveys (n = 12,603) delivered over a year. Generalized linear mixed effect models were used to fit IPV perpetration as a function of past-24-hour violence victimization; models included indicators for between-person and within-person components of victimization.


Findings
In at least one survey submitted, 13% of boys reported perpetrating physical IPV and 5% perpetrating sexual IPV. Any victimization in the past 24-hours significantly increased the odds of physical (OR 4.00) and sexual violence perpetration (OR 2.45). When examined individually, sexual violence victimization had the strongest association (OR of 7.96 for physical and 4.88 sexual IPV perpetration). We also examined the between-person influence of victimization. Boys who experienced more violence on average (a higher person-centered mean exposure) were substantially more likely to perpetrate both physical IPV and sexual IPV as compared to boys with overall low levels of victimization.


Conclusion
Adolescent boys who experience violence are more likely to use violence against their partners that same day. To break this cycle, it will be critical to understand the mechanisms by which proximal victimization triggers onward violence perpetration. Both the current findings and the next steps highlight the importance of real-time, repeated data collection.
",Social Sciences
13,The Impact of Bank Regulation on Commercial Bank Performance: Evidence From South Africa,Gwatidzo T.,2025-03-01,http://dx.doi.org/10.1111/saje.12397,"ABSTRACTUsing data on South Africa's commercial banks in the period 2005–2018, this paper investigates the impact of bank regulation on bank performance. The study uses a fixed effects model to run the regression model as well as the data envelopment analysis approach to estimate efficiency scores. We find a number of interesting results. First, we find a negative relationship between capital stringency and bank performance, suggesting that increased capital requirements force banks to increase their reserves, adversely affecting their performance. Second, we find a positive relationship between activity restrictions and bank performance, indicating that this kind of regulation, which may well be good for the public as argued by the public interest view of regulation, is also good for the regulated banks. Third, we find a negative and significant relationship between supervisory power and bank performance. Fourth, we find a positive and significant relationship between the market discipline index and bank performance, suggesting that by creating environments characterised by high market discipline, the regulatory regime enhances the ability and incentives of private investors to efficiently monitor banks. This ensures better management of banks, ultimately increasing profitability. Overall, the study finds that regulation matters for bank performance.",Finance
14,Basel III Regulations and Financing Decisions of Nonfinancial Firms: The South African Evidence,Lemma T.,2025-03-01,http://dx.doi.org/10.1111/saje.12400,"ABSTRACTThis study examines the impact of the Basel III regulatory framework on financing decisions within South Africa's real sector. Using a sample of 2045 firm‐year observations spanning the years 2011–2015 and employing the difference‐in‐differences approach, we find a significant decrease in debt financing and debt maturity for firms deemed ‘constrained’ relative to ‘unconstrained’ firms in the post‐Basel III implementation period. Further analyses suggest that the Basel III regulatory framework has a persistent effect on financing decisions in the real sector. Our findings indicate that the Basel III regulatory framework reduces leverage and debt maturity, especially for constrained firms.",Finance
15,Critical Regulatory Characteristics for Sustainable Building Construction in South Africa,Emere C.E.,2025-03-01,http://dx.doi.org/10.3390/su17051830,"Despite continuous advocacy for sustainable building construction (SBC), it is hardly implemented in Africa. There have been varied views on whether regulatory characteristics concerning SBC should be voluntary or mandatory. Experts recommend customising regulatory characteristics to fit the specific country setting. This paper confirms the critical characteristics of implementing SBC in South Africa (SA) effectively. Using a structured questionnaire, data were collected from professionals in the built environment in SA. The data analysis included descriptive statistics, determining group opinion differences, model tests, and fit statistics for a confirmatory factor analysis (CFA). It was revealed that mandatory enforcement of sustainable construction rules, mandatory assessment, mandatory sustainable building certifications, and mandatory incentive programs are necessary to implement SBC successfully. This study’s practical implications stem from its ability to provide stakeholders and policymakers with the necessary understanding of the key aspects to help them properly direct reform plans. Laws, regulations, and assessments that must be strictly enforced imply that all stakeholders must have a grave corporation or mandate for practical SBC to accomplish sustainable development goals. By confirming the critical regulatory characteristics, this study would drive and assist government agencies, construction companies, policymakers, and built environment stakeholders in properly guiding improvement initiatives.",Architecture and Environmental Design
16,Necessity for a variable renewable energy forecasting hub in a changing climate and energy system in South Africa,Landwehr G.,2025-03-01,http://dx.doi.org/10.1007/s00704-025-05394-2,"Abstract
South Africa has experienced challenges to meet the energy demand of its citizens, let alone achieve a Just Energy Transition. This mainly due to grid capacity issues and slow rollout of new generation capacity. These are not unsolvable stumbling blocks and with better queuing rules for grid space and efforts to expedite grid and generation capacity expansion, confidence can be restored in the public renewable energy procurement programme. The latest Eskom transmission development plan highlights heavily building out the grid over the next 10 years to facilitate projected renewable energy production growth. Although variable renewable energy (VRE) resources are growing, at present, the stability and cost to the power system can be optimized with improved accuracy of VRE production forecasts. In a changing climate where temperatures in South Africa are projected to increase at double the global average, understanding the performance and impact of climate change and fluctuating frequency of extreme weather events on these facilities in the medium and long term, is important for the sustainability of the South African energy system as it justly transitions to renewables. Methodologies for forecasting VRE in short-, medium- and long-term temporal resolutions are presented in Landwehr (2018) and Landwehr et al. (2023a, b) and highlighted here. In this paper the imperative for the development of a VRE Forecasting Hub in South Africa for all temporal resolutions is outlined. This to facilitate better VRE forecasting, risk mitigation and adaptation at varying timescales of VRE production. A blueprint for such a VRE Forecasting Hub is presented.",Energy and Environmental Science
17,"Bank Business Model Identification, Evolution and Outcomes: Evidence for South Africa",Wilson J. .,2025-03-01,http://dx.doi.org/10.1111/saje.12395,"ABSTRACTThis paper presents the findings of an investigation of the type, evolution and impacts on performance of bank business models in South Africa. We identify the various business models used by South African banks using data on the monthly balance sheets of commercial banks made available by the South African Reserve Bank between 1993 and 2022. We cluster banks into different business models based on the composition of their balance sheets. Based on these clusters, we identify business models oriented to wholesale and retail funding, as well as to universal, investment and interbank activities. Overall, our clustering exercise returns six distinct business models. We observe large differences in terms of business size, performance and risk profiles across the business models. We also analyse the evolution of business models over time. The results suggest that banks exhibit relatively stable business models, but where transition exists it tends to be between certain business models. Increased risk is associated with a higher probability of banks shifting business models.",Finance
18,Residual effect of vermicompost and preceding groundnut on soil fertility and associated Striga density under sorghum cropping in Eastern Ethiopia,Ebbisa A.F.,2025-03-01,http://dx.doi.org/10.1371/journal.pone.0318057,"Depletion of soil organic matter was found to be the primary biophysical factor causing declining per capita food production in sub-Saharan Africa. The magnitude of this problem was exacerbated by moisture-stress and imbalanced fertilizer application that caused Striga weed infestation. To address such confounded issues, two-year field experiments were conducted to evaluate the effect of residual vermicompost and preceding groundnut on soil fertility, sorghum yield, and Striga density. The first-year treatments contained two sowing methods (single and intercropped sorghum), two seedbed types (open-furrow and tied-ridge), and four vermicompost rates (0, 1.5, 3.0, and 4.5 t/ha) combined factorially in a randomized block design. In the second-year experiment, only monocropped sorghum with seedbed types was sown exactly on the same plot as the previous year’s treatment combinations without fertilizer. The results disclosed that residual vermicompost at 4.5 t/ha in intercropped sorghum/groundnut significantly reduced soil pH (0.76%), bulk density (8.61%), electrical conductivity (38.78%), and Striga density (85.71%). In contrast, compared to unamended soil, the aforementioned treatment combined with tied-ridging increased soil moisture, organic matter, and sorghum yield by 16.67, 2.34, and 58%, respectively. Moreover, this treatment combination markedly increased post-harvest soil organic carbon (7.69%), total N (0.247%), available P (38.46%), exchangeable-Fe (27%), and exchangeable-Zn (40%) in the second year over control. Treatments previously amended with 4.5 t/ha of vermicompost under the sorghum-groundnut intercrop system resulted in the highest total N (0.242%) and available P (9.822 mg/Kg). Thus, the vermicompost and groundnut successfully improve soil fertility and sorghum yield for two cropping seasons.",Agricultural Science
19,"Escalating threat: increasing impact of the polyphagous shot hole borer beetle, Euwallacea fornicatus, in nearly all major South African forest types",Townsend G.,2025-03-01,http://dx.doi.org/10.1007/s10530-025-03551-2,"Abstract
The polyphagous shot hole borer (PSHB; Euwallacea fornicatus), is an invasive ambrosia beetle and poses a significant threat to a wide range of tree species globally. Despite its potential impact, research on the beetle's spread and impacts in natural ecosystems remains limited. This study examines the interactions between PSHB and native forest ecosystems in two regions in South Africa. Over 5 years, PSHB invaded all but one forest type with colonization being recorded on numerous native tree species, often resulting in severe infestations and sometimes mortality. Many tree species and families had higher than expected infestation rates. An increase in PSHB-attacked trees and infestation severity was observed over the course of the study with trees having a ~ 7.5% increased chance of PSHB infestations per year and PSHB holes increasing by over 10% annually. Significant temporal and regional effects on PSHB infestations were also noted. There were higher infestation levels in the tropical KwaZulu-Natal region than in the more temperate Western Cape. Monitoring plots closer to PSHB source populations had higher infestation rates. Higher tree species richness resulted in lower PSHB attacks, whereas higher densities of competent host species led to increased infestations. This study underscores the importance of extended monitoring of invasive species and provides key insights for the potential management of PSHB in natural forest ecosystems. The ecological effects of this invasion may be severe, with many important tree species sustaining infestations. Over time this invasion could have adverse effects to ecosystem functioning and resilience.",Environmental Science
