,Unnamed: 0,Title,Author,Publication_Year,Link,Abstract,Repository,Topic_Category,Year,Country(s)
10,10,Social and Economic Impact Analysis of Solar Mini-Grids in Rural Africa: A Cohort Study from Kenya and Nigeria,"Amy Town Carabajal, Akoua Orsot, Marie Pelagie Elimbi Moudio, Tracy Haggai, Chioma Joy Okonkwo, George Truett Jarrard III, Nicholas Stearns Selby",2024-01-01,http://arxiv.org/pdf/2401.02445v2,"This study presents the first comprehensive analysis of the social and
economic effects of solar mini-grids in rural African settings, specifically in
Kenya and Nigeria. A group of 2,658 household heads and business owners
connected to mini-grids over the last five years were interviewed both before
and one year after their connection. These interviews focused on changes in
gender equality, productivity, health, safety, and economic activity. The
results show notable improvements in all areas. Economic activities and
productivity increased significantly among the connected households and
businesses. The median income of rural Kenyan community members quadrupled.
Gender equality also improved, with women gaining more opportunities in
decision making and business. Health and safety enhancements were linked to
reduced use of hazardous energy sources like kerosene lamps. The introduction
of solar mini-grids not only transformed the energy landscape but also led to
broad socioeconomic benefits in these rural areas. The research highlights the
substantial impact of decentralized renewable energy on the social and economic
development of rural African communities. Its findings are crucial for
policymakers, development agencies, and stakeholders focused on promoting
sustainable energy and development in Africa.",arxiv,Environmental Science,2024,"Kenya, Nigeria"
11,11,Democratizing AI in Africa: FL for Low-Resource Edge Devices,"Jorge Fabila, Víctor M. Campello, Carlos Martín-Isla, Johnes Obungoloch, Kinyera Leo, Amodoi Ronald, Karim Lekadir",2024-08-30,http://arxiv.org/pdf/2408.17216v1,"Africa faces significant challenges in healthcare delivery due to limited
infrastructure and access to advanced medical technologies. This study explores
the use of federated learning to overcome these barriers, focusing on perinatal
health. We trained a fetal plane classifier using perinatal data from five
African countries: Algeria, Ghana, Egypt, Malawi, and Uganda, along with data
from Spanish hospitals. To incorporate the lack of computational resources in
the analysis, we considered a heterogeneous set of devices, including a
Raspberry Pi and several laptops, for model training. We demonstrate
comparative performance between a centralized and a federated model, despite
the compute limitations, and a significant improvement in model
generalizability when compared to models trained only locally. These results
show the potential for a future implementation at a large scale of a federated
learning platform to bridge the accessibility gap and improve model
generalizability with very little requirements.",arxiv,Computer Science,2024,"Algeria, Ghana, Egypt, Malawi, Uganda, Spain"
12,12,Cross-correlation between the thermal Sunyaev-Zeldovich effect and the Integrated Sachs-Wolfe effect,"Ayodeji Ibitoye, Wei-Ming Dai, Yin-Zhe Ma, Patricio Vielva, Denis Tramonte, Amare Abebe, Aroonkumar Beesham, Xuelei Chen",2023-10-27,http://arxiv.org/pdf/2310.18478v2,"We present a joint cosmological analysis of the power spectra measurement of
the Planck Compton parameter and the integrated Sachs-Wolfe (ISW) maps. We
detect the statistical correlation between the Planck Thermal Sunyaev-Zeldovich
(tSZ) map and ISW data with a significance of a $3.6\sigma$ confidence
level~(CL), with the autocorrelation of the Planck tSZ data being measured at a
$25 \sigma$ CL. The joint auto- and cross-power spectra constrain the matter
density to be $\Omega_{\rm m}= 0.317^{+0.040}_{-0.031}$, the Hubble constant
$H_{0}=66.5^{+2.0}_{-1.9}\,{\rm km}\,{\rm s}^{-1}\,{\rm Mpc}^{-1}$ and the rms
matter density fluctuations to be $\sigma_{8}=0.730^{+0.040}_{-0.037}$ at the
68% CL. The derived large-scale structure $S_{8}$ parameter is $S_8 \equiv
\sigma_{8}(\Omega_{\rm m}/0.3)^{0.5} = 0.755\pm{0.060} $. If using only the
diagonal blocks of covariance matrices, the Hubble constant becomes
$H_{0}=69.7^{+2.0}_{-1.5}\,{\rm km}\,{\rm s}^{-1}\,{\rm Mpc}^{-1}$. In
addition, we obtain the constraint of the product of the gas bias, gas
temperature, and density as $b_{\rm gas} \left(T_{\rm e}/(0.1\,{\rm keV})
\right ) \left(\bar{n}_{\rm e}/1\,{\rm m}^{-3} \right) =
3.09^{+0.320}_{-0.380}$. We find that this constraint leads to an estimate on
the electron temperature today as $T_{\rm e}=(2.40^{+0.250}_{-0.300}) \times
10^{6} \,{\rm K}$, consistent with the expected temperature of the warm-hot
intergalactic medium. Our studies show that the ISW-tSZ cross-correlation is
capable of probing the properties of the large-scale diffuse gas.",arxiv,Astrophysics,2023,No country names are mentioned in the abstract.
13,13,The stochastic nature of power-grid frequency in South Africa,"Leonardo Rydin Gorjão, Jacques Maritz",2022-11-10,http://arxiv.org/pdf/2211.05582v1,"In this work, we explore two mechanisms that explain non-Gaussian behaviour
of power-grid frequency recordings in the South African grid. We make use of a
Fokker-Planck approach to power-grid frequency that yields a direct relation
between common model parameters such as inertia, damping, and noise amplitude
and non-parametric estimations of the same directly from power-grid frequency
recordings. We propose two explanations for the non-Gaussian leptokurtic
distributions in South Africa: The first based on multiplicative noise in
power-grid frequency recordings, which we observe in South Africa; The second
based on the well-known scheduled and unscheduled load shedding and rolling
blackouts that beset South Africa. For the first we derive an analytic
expression of the effects of multiplicative noise that permits the estimation
of all statistical moments - and discuss drawbacks in comparison with the data;
For the second we employ a simple numerical analysis with a modular power grid
of South Africa. Both options help understand the statistics of power-grid
frequency in South Africa - particularly the presence of heavy tails.",arxiv,Electrical Engineering,2022,South Africa
14,14,Filling the uv-gaps of the current VLBI network in Africa,"Marcellin Atemkeng, Patrice M. Okouma, Eric Maina, Roger Ianjamasimanana, Serges Zambou",2020-03-19,http://arxiv.org/pdf/2003.08642v1,"In the African continent, South Africa has world-class astronomical
facilities for advanced radio astronomy research. With the advent of the Square
Kilometre Array project in South Africa (SA SKA), six countries in Africa (SA
SKA partner countries) have joined South Africa to contribute towards the
African Very Long Baseline Interferometry (VLBI) Networks (AVN). Each of the
AVN countries will soon have a single-dish radio telescope that will be part of
the AVN, the European VLBI Network, and the global VLBI network. The SKA and
the AVN will enable very high sensitivity VLBI in the southern hemisphere. In
the current AVN network, there is a gap in coverage in the central African
region. This work analyses the scientific impact if new antennas were to be
built or old telecommunication facilities were to be converted to radio
telescopes in each of the six countries in central Africa i.e. Cameroon, Gabon,
Congo, Equatorial Guinea, Chad, Central African Republic. The work also
discusses some economical and skills transfer impacts of having a radio
interferometer in this area of Africa.",arxiv,Astronomy,2020,"South Africa, Cameroon, Gabon, Congo, Equatorial Guinea, Chad, Central African Republic"
15,15,Amplify Initiative: Building A Localized Data Platform for Globalized AI,"Qazi Mamunur Rashid, Erin van Liemt, Tiffany Shih, Amber Ebinama, Karla Barrios Ramos, Madhurima Maji, Aishwarya Verma, Charu Kalia, Jamila Smith-Loud, Joyce Nakatumba-Nabende, Rehema Baguma, Andrew Katumba, Chodrine Mutebi, Jagen Marvin, Eric Peter Wairagala, Mugizi Bruce, Peter Oketta, Lawrence Nderu, Obichi Obiajunwa, Abigail Oppong, Michael Zimba, Data Authors",2025-04-18,http://arxiv.org/pdf/2504.14105v1,"Current AI models often fail to account for local context and language, given
the predominance of English and Western internet content in their training
data. This hinders the global relevance, usefulness, and safety of these models
as they gain more users around the globe. Amplify Initiative, a data platform
and methodology, leverages expert communities to collect diverse, high-quality
data to address the limitations of these models. The platform is designed to
enable co-creation of datasets, provide access to high-quality multilingual
datasets, and offer recognition to data authors. This paper presents the
approach to co-creating datasets with domain experts (e.g., health workers,
teachers) through a pilot conducted in Sub-Saharan Africa (Ghana, Kenya,
Malawi, Nigeria, and Uganda). In partnership with local researchers situated in
these countries, the pilot demonstrated an end-to-end approach to co-creating
data with 155 experts in sensitive domains (e.g., physicians, bankers,
anthropologists, human and civil rights advocates). This approach, implemented
with an Android app, resulted in an annotated dataset of 8,091 adversarial
queries in seven languages (e.g., Luganda, Swahili, Chichewa), capturing
nuanced and contextual information related to key themes such as misinformation
and public interest topics. This dataset in turn can be used to evaluate models
for their safety and cultural relevance within the context of these languages.",arxiv,Computer Science,2025,"Ghana, Kenya, Malawi, Nigeria, Uganda"
16,16,Impact of large scale climate oscillation on drought in West Africa,"Samuel T. Ogunjo, Ibiyinka A. Fuwape, Christiana F. Olusegun",2019-01-29,http://arxiv.org/pdf/1901.10145v1,"Drought poses a significant threat to the delicate economies in subsaharan
Africa. This study investigates the influence of large scale ocean oscillation
on drought in West Africa. Standardized Precipitation Index for the region was
computed using monthly precipitation data from the Climate Research Unit during
the period 1961 -1990. The impact of three ocean oscillation indices - Southern
Ocean Index (SOI), Pacific Decadal Oscillation (PDO) and North Atlantic
Oscillation (NAO) on drought over West Africa was investigated using linear
correlation, co-integration test, mutual information and nonlinear
synchronization methods. SOI showed predominantly positive correlation with
drought over the region while PDO and NAO showed negative correlation. This was
confirmed by the co-integration tests. The nonlinear test revealed more complex
relationship between the indices and drought. PDO has lesser influence or
contribute less to the drought in the coastal region compared to the Sahel
region of West Africa.",arxiv,Environmental Science,2019,Africa
17,17,Content and Quality Analysis of Parent-Facing Applications for Feeding Children with Autism Spectrum Disorder,"Christopher Cofie Kuzagbe, Fabrice Mukarage, Skye Nandi Adams, N'guessan Yves-Roland Douha, Edith Talina Luhanga",2025-05-02,http://arxiv.org/pdf/2505.01520v1,"Approximately 1 in 100 children worldwide are diagnosed with Autism Spectrum
Disorder (ASD), and 46% to 89% experience significant feeding difficulties.
Although mobile health (mHealth) applications offer potential support for
caregivers, the quality and relevance of apps targeting autism-related feeding
issues remain unclear. This systematic review evaluated mobile applications
available on the Apple App Store and the Google Play Store between September
and October 2024. The searches were carried out using 15 predefined terms
(e.g., ""child autism feeding"", ""child autism food""). Applications were eligible
if they were in English, free to download, updated within the past year,
explicitly addressed feeding in children with autism, accessible in Africa, and
had more than 100 downloads. Of the 326 apps identified, only two iOS
applications met all inclusion criteria; no Android apps qualified. Behavior
Change Wheel (BCW) analysis showed that the selected applications incorporated
multiple intervention functions, such as education, training, enablement,
incentivization, and modeling, though none addressed the full spectrum of
behavioral strategies. Mobile App Rating Scale (MARS) indicated moderate to
high usability, with features such as sensory-friendly food routines and
structured caregiver tools. However, both apps lacked clinical validation and
comprehensive customization. These findings highlight a critical gap in the
availability of evidence-based high-quality mHealth tools for caregivers
managing ASD-related feeding challenges and underscore the need for
professionally developed and culturally sensitive digital solutions.",arxiv,Psychology,2025,Africa
18,18,An Evaluation of Link Performance Based on Rainfall Attenuation for a LEO Communication Satellite Constellation Over Africa,Osoro B. Ogutu,2023-03-31,http://arxiv.org/pdf/2304.00126v1,"In this paper, we apply the ITU-R P.618-8 model with data from the ITU-R
P.837-7, Tropical Rain Measuring Mission (TRMM) and Global Precipitation
Mission (GPM) satellite to determine the level of attenuation and available
link margin for a LEO system such as Telesat. The specific and predicted
attenuation for chosen six candidate ground stations (Abuja, Hartbeesthoek,
Cairo, Longonot, Port Louis and Praia) is computed and results presented for
0.001%-1% unavailability time in a year. Setting a link margin of 0.36dB, the
available link margin and the best candidate ground station for a LEO system
such as Telesat is determined. The approach used can be implemented for other
potential ground stations and LEO communication systems over Africa.",arxiv,Telecommunications,2023,"Nigeria, South Africa, Egypt, Kenya, Mauritius, Cape Verde"
19,19,AfricAIED 2024: 2nd Workshop on Artificial Intelligence in Education in Africa,"George Boateng, Victor Kumbol",2024-04-30,http://arxiv.org/pdf/2405.00139v1,"Recent AI advancements offer transformative potential for global education,
yet their application often overlooks Africa's unique educational landscape.
AfricAIED 2024 will address this gap, spotlighting efforts to develop AI in
Education (AIED) systems tailored to Africa's needs. Building on the success of
the inaugural workshop, AfricAIED 2024 will feature an online AI Hackathon
focused on democratizing preparation for Ghana's National Science & Maths Quiz
(NSMQ). Participants will create open-source AI tools leveraging resources from
the Brilla AI project to level the academic playing field and enhance science
and math education across Africa. The workshop will showcase top competitors'
solutions, invite discussions on AIED opportunities and challenges in Africa,
and highlight the latest advancements in AI education integration. AfricAIED
2024 aims to foster collaboration and innovation, amplifying African voices in
the AIED community and driving positive change in African education through AI.",arxiv,Education Technology,2024,Ghana
20,20,SoUthern Cluster sCale Extended Source Survey (SUCCESS): A GMRT and MeerKAT study of nine massive galaxy clusters,"R. Kale, V. Parekh, M. Rahaman, D. C. Joshi, T. Venturi, K. Kolokythas, J. O. Chibueze, S. Sikhosana, D. Pillay, K. Knowles",2022-06-22,http://arxiv.org/pdf/2206.10895v1,"We aim to carry out a radio study of the SoUthern Cluster sCale Extended
Source Survey (SUCCESS) sample consisting of twenty massive (M$_{500} >
5\times10^{14}$ M$_{\odot}$), nearby (redshift $<0.3$) and southern
($-50^{\circ} < \delta < -30^\circ$) galaxy clusters detected by the Planck
satellite and the South Pole Telescope. Here we report targeted GMRT
observations (325/610 MHz) for a sub-sample of nine clusters. We also use the
first data release of MeerKAT Galaxy Cluster Legacy Survey (1283 MHz) for five
of these nine clusters. The properties of the mini-halo in RXC J0528.9-3927, a
candidate mini-halo in A3322, the radio halo and candidate double relics in
A3399, and the radio halo in RXC J0232.2-4420 are presented. We also report
detection of candidate radio relics at distances 1 and 1.9 Mpc from the center
of RXC J0232.2-4420. The southeast relic of A3399 is consistent with the radio
power - mass scaling relation for radio relics, while the candidate relics
around RXC J0232.2-4420 are outliers. This indicates an origin of the candidate
relics near RXC J0232.2-4420 to be independent of this cluster and a cluster
merger-shock origin for the relic in A3399. In this sub-sample of clusters 1/9
hosts a radio halo and double relics, 1/9 hosts a radio halo and 2/9 host
mini-halos. The dynamical states based on X-ray morphology show that A3399 is a
disturbed cluster; however, the radio halo cluster RXC J0232.2-4420 is relaxed,
and the mini-halo clusters have intermediate morphologies, adding to the cases
of the less commonly found associations.",arxiv,Astrophysics,2022,South Africa
21,21,The Role Of Social Media On Selected Businesses In Nigeria In The Era Of Covid-19 Pandemic,"Cajetan Ihemebiri, Elochukwu Ukwandu, Lizzy Ofusori, Comfort Olebara",2023-05-30,http://arxiv.org/pdf/2305.19299v1,"As several countries were experiencing unprecedented economic slowdowns due
to the outbreak of COVID-19 pandemic in early 2020, small business enterprises
started adapting to digital technologies for business transactions. However, in
Africa, particularly Nigeria, COVID-19 pandemic resulted to some financial
crisis that impacted negatively on the sustainability of small and medium-sized
(SMEs) businesses. Thus, this study examined the role of social media on
selected SMEs in Nigeria in the heat of the COVID-19 pandemic that led to
several lock downs in a bid to curtail the spread of the virus. Cross-sectional
survey research design was used alongside convenience population sampling
techniques. The population was categorised based on selected SMEs businesses,
while a quantitative research approach was adopted, and primary data were
collected using a questionnaire. The questionnaires were administered to owners
and operators of SMEs in Ikotun and Ikeja areas of Lagos State, Nigeria. A
total of 190 questionnaires were distributed, where 183 usable responses were
analysed. The findings of the study show that SMEs were aware of the usefulness
of social media to their businesses as they largely leveraged it in conducting
their businesses during the national lockdowns. The study recommended that
labour/trade unions should sensitise and encourage business owners on the
benefits of continuous use of social media in carrying out their business
transactions.",arxiv,Business Studies,2023,Nigeria
22,22,Analysing Public Transport User Sentiment on Low Resource Multilingual Data,"Rozina L. Myoya, Vukosi Marivate, Idris Abdulmumin",2024-12-09,http://arxiv.org/pdf/2412.06951v1,"Public transport systems in many Sub-Saharan countries often receive less
attention compared to other sectors, underscoring the need for innovative
solutions to improve the Quality of Service (QoS) and overall user experience.
This study explored commuter opinion mining to understand sentiments toward
existing public transport systems in Kenya, Tanzania, and South Africa. We used
a qualitative research design, analysing data from X (formerly Twitter) to
assess sentiments across rail, mini-bus taxis, and buses. By leveraging
Multilingual Opinion Mining techniques, we addressed the linguistic diversity
and code-switching present in our dataset, thus demonstrating the application
of Natural Language Processing (NLP) in extracting insights from
under-resourced languages. We employed PLMs such as AfriBERTa, AfroXLMR,
AfroLM, and PuoBERTa to conduct the sentiment analysis. The results revealed
predominantly negative sentiments in South Africa and Kenya, while the
Tanzanian dataset showed mainly positive sentiments due to the advertising
nature of the tweets. Furthermore, feature extraction using the Word2Vec model
and K-Means clustering illuminated semantic relationships and primary themes
found within the different datasets. By prioritising the analysis of user
experiences and sentiments, this research paves the way for developing more
responsive, user-centered public transport systems in Sub-Saharan countries,
contributing to the broader goal of improving urban mobility and
sustainability.",arxiv,Computer Science,2024,"Kenya, Tanzania, South Africa"
23,23,Readiness of the South African Agricultural Sector to Implement IoT,"In'aam Soeker, Shallen Lusinga, Wallace Chigona",2021-08-23,http://arxiv.org/pdf/2108.10081v1,"As the world's population increases, so does the demand for food. This demand
for food in turn puts pressure on agriculture in many countries. The impact of
climate change on the environment has made it difficult to produce food that
may be necessary to accommodate the growing population. Due to these concerns,
the agriculture sector is forced to move towards more efficient and sustainable
methods of farming to increase productivity. There is evidence that the use of
technology in agriculture has the potential to improve food production and food
sustainability; thereby addressing the concerns of food security. The Internet
of Things (IoT) has been suggested as a potential tool for farmers to overcome
the impact of climate change on food security. However, there is dearth of
research on the readiness of implementing IoT in South Africa's agricultural
sector. Therefore, this research aims to explore the readiness of the
agricultural sector of South Africa for a wide implementation of IoT. This
research conducts a desktop study through the lens of the PEST framework on the
special case of South Africa. A thematic literature and documents review was
deployed to examine the political, economic, societal and technological factors
that may facilitate or impede the implementation of IoT in the agricultural
sectors of South Africa. The findings suggest that the wide ranging political,
economic, societal and technological constructs enable the implementation of
IoT within South Africa's agricultural sector. The most important include
current policies, technological infrastructure, access to internet, and mobile
technology which places South Africa in a good position to implement IoT in
agriculture.",arxiv,Agricultural Technology,2021,South Africa
24,24,A Stochastic Investment Model for Actuarial Use in South Africa,"Şule Şahin, Shaun Levitan",2019-12-24,http://arxiv.org/pdf/1912.12113v2,"In this paper, we propose a stochastic investment model for actuarial use in
South Africa by modelling price inflation rates, share dividends, long term and
short-term interest rates for the period 1960-2018 and inflation-linked bonds
for the period 2000-2018. Possible bi-directional relations between the
economic series have been considered, the parameters and their confidence
intervals have been estimated recursively to examine their stability and the
model validation has been tested. The model is designed to provide long-term
forecasts that should find application in long-term modelling for institutions
such as pension funds and life insurance companies in South Africa",arxiv,Finance,2019,South Africa
